time,Ax,Angulo_graus,Pulsos,Vel_ms
820486,-0.0732,0.00,-194395,0.000
820494,-0.0725,0.00,-194395,0.000
820502,-0.0752,0.00,-194395,0.000
820510,-0.0698,0.00,-194395,0.000
820518,-0.0703,0.00,-194395,0.000
820526,-0.0745,0.00,-194395,0.000
820534,-0.0735,0.00,-194395,0.000
820542,-0.0740,0.00,-194395,0.000
820550,-0.0728,0.00,-194395,0.000
820558,-0.0745,0.00,-194395,0.000
820566,-0.0706,0.00,-194395,0.000
820574,-0.0691,0.00,-194395,0.000
820582,-0.0708,0.00,-194395,0.000
820590,-0.0730,0.00,-194395,0.000
820598,-0.0728,0.00,-194395,0.000
820606,-0.0725,0.00,-194395,0.000
820614,-0.0732,0.00,-194395,0.000
820622,-0.0728,0.00,-194395,0.000
820630,-0.0750,0.00,-194395,0.000
820638,-0.0752,0.00,-194395,0.000
820646,-0.0742,0.00,-194395,0.000
820654,-0.0701,0.00,-194395,0.000
820662,-0.0720,0.00,-194395,0.000
820670,-0.0718,0.00,-194395,0.000
820678,-0.0737,0.00,-194395,0.000
820686,-0.0725,0.00,-194395,0.000
820694,-0.0725,0.00,-194395,0.000
820702,-0.0698,0.00,-194395,0.000
820710,-0.0767,0.00,-194395,0.000
820718,-0.0708,0.00,-194395,0.000
820726,-0.0725,0.00,-194395,0.000
820734,-0.0779,0.00,-194395,0.000
820742,-0.0676,0.00,-194395,0.000
820750,-0.0747,0.00,-194395,0.000
820758,-0.0713,0.00,-194395,0.000
820766,-0.0759,0.00,-194395,0.000
820774,-0.0720,0.00,-194395,0.000
820782,-0.0735,0.00,-194395,0.000
820790,-0.0745,0.00,-194395,0.000
820798,-0.0720,0.00,-194395,0.000
820806,-0.0728,0.00,-194395,0.000
820814,-0.0706,0.00,-194395,0.000
820822,-0.0710,0.00,-194395,0.000
820830,-0.0747,0.00,-194395,0.000
820838,-0.0732,0.00,-194395,0.000
820846,-0.0742,0.00,-194395,0.000
820854,-0.0732,0.00,-194395,0.000
820862,-0.0745,0.00,-194395,0.000
820870,-0.0715,0.00,-194395,0.000
820878,-0.0706,0.00,-194395,0.000
820886,-0.0742,0.00,-194395,0.000
820894,-0.0754,0.00,-194395,0.000
820902,-0.0723,0.00,-194395,0.000
820910,-0.0715,0.00,-194395,0.000
820918,-0.0747,0.00,-194395,0.000
820926,-0.0745,0.00,-194395,0.000
820934,-0.0696,0.00,-194395,0.000
820942,-0.0718,0.00,-194395,0.000
820950,-0.0771,0.00,-194395,0.000
820958,-0.0701,0.00,-194395,0.000
820966,-0.0715,0.00,-194395,0.000
820974,-0.0710,0.00,-194395,0.000
820982,-0.0723,0.00,-194395,0.000
820990,-0.0710,0.00,-194395,0.000
820998,-0.0681,0.00,-194395,0.000
821006,-0.0691,0.00,-194395,0.000
821014,-0.0740,0.00,-194395,0.000
821022,-0.0706,0.00,-194395,0.000
821030,-0.0732,0.00,-194395,0.000
821038,-0.0742,0.00,-194395,0.000
821046,-0.0745,0.00,-194395,0.000
821054,-0.0754,0.00,-194395,0.000
821062,-0.0742,0.00,-194395,0.000
821070,-0.0684,0.00,-194395,0.000
821078,-0.0720,0.00,-194395,0.000
821086,-0.0718,0.00,-194395,0.000
821094,-0.0732,0.00,-194395,0.000
821102,-0.0796,0.00,-194395,0.000
821110,-0.0779,0.00,-194395,0.000
821118,-0.0759,0.00,-194395,0.000
821126,-0.0723,0.00,-194395,0.000
821134,-0.0723,0.00,-194395,0.000
821142,-0.0747,0.00,-194395,0.000
821150,-0.0713,0.00,-194395,0.000
821158,-0.0715,0.00,-194395,0.000
821166,-0.0720,0.00,-194395,0.000
821174,-0.0750,0.00,-194395,0.000
821182,-0.0742,0.00,-194395,0.000
821190,-0.0698,0.00,-194395,0.000
821198,-0.0703,0.00,-194395,0.000
821206,-0.0715,0.00,-194395,0.000
821214,-0.0710,0.00,-194395,0.000
821222,-0.0706,0.00,-194395,0.000
821230,-0.0706,0.00,-194395,0.000
821238,-0.0732,0.00,-194395,0.000
821246,-0.0742,0.00,-194395,0.000
821254,-0.0706,0.00,-194395,0.000
821262,-0.0764,0.00,-194395,0.000
