time,Ax,Angulo_graus,Pulsos,Vel_ms
226750,0.0115,0.66,-17736,0.448
226758,0.0000,0.00,-17652,0.448
226766,0.0000,0.00,-17562,0.448
226774,0.1855,10.69,-17463,0.448
226782,-0.0430,0.00,-17372,0.448
226790,-0.0337,0.00,-17281,0.448
226798,0.1821,10.49,-17189,1.024
226806,-0.0432,0.00,-17096,1.024
226814,-1.1953,0.00,-17002,1.024
226822,0.4797,28.67,-16906,1.024
226830,-0.0708,0.00,-16806,1.024
226838,-0.3035,0.00,-16703,1.024
226846,0.4319,25.59,-16594,1.024
226854,-0.0813,0.00,-16477,1.024
226862,0.0000,0.00,-16362,1.024
226870,0.3423,20.02,-16211,1.024
226878,0.5034,30.23,-16059,1.024
226886,0.4626,27.56,-15888,1.024
226894,0.2969,17.27,-15698,1.024
226902,0.1990,11.48,-15483,1.445
226910,-0.6978,0.00,-15252,1.445
226918,0.0000,0.00,-15029,1.445
226926,0.0000,0.00,-14767,1.445
226934,0.0667,3.82,-14468,1.445
226942,0.3770,22.15,-14192,1.445
226950,0.1355,7.79,-13917,1.445
226958,0.2583,14.97,-13632,1.445
226966,0.4565,27.16,-13336,1.445
226974,0.1165,6.69,-13040,1.445
226982,0.3752,22.04,-12748,1.445
226990,0.0000,0.00,-12481,1.445
226998,0.0000,0.00,-12185,1.445
227006,0.0000,0.00,-11896,3.083
227014,0.1370,7.87,-11596,3.083
227022,-0.1484,0.00,-11320,3.083
227030,-0.0674,0.00,-11041,3.083
227038,-0.3252,0.00,-10763,3.083
227046,-0.2761,0.00,-10493,3.083
227054,-0.5063,0.00,-10227,3.083
227062,0.0818,4.69,-9960,3.083
227070,0.0745,4.27,-9694,3.083
227078,0.1270,7.29,-9436,3.083
227086,-0.0945,0.00,-9188,3.083
227094,-0.5767,0.00,-8943,3.083
227102,-0.0427,0.00,-8694,3.083
227110,-0.0706,0.00,-8446,2.935
227118,0.0161,0.92,-8204,2.935
227126,-0.0640,0.00,-7968,2.935
227134,-0.3296,0.00,-7732,2.935
227142,-0.1111,0.00,-7496,2.935
227150,-0.3608,0.00,-7262,2.935
227158,0.0227,1.30,-7036,2.935
227166,-0.2288,0.00,-6820,2.935
227174,-0.1260,0.00,-6607,2.935
227182,-0.0667,0.00,-6393,2.935
227190,-0.2368,0.00,-6180,2.935
227198,-0.1023,0.00,-5969,2.935
227206,-0.0183,0.00,-5763,2.935
227214,-0.1313,0.00,-5561,2.475
227222,-0.0085,0.00,-5357,2.475
227230,-0.1799,0.00,-5152,2.475
227238,-0.1841,0.00,-4947,2.475
227246,-0.0461,0.00,-4743,2.475
227254,0.0081,0.46,-4549,2.475
227262,-0.0598,0.00,-4360,2.475
227270,-0.1101,0.00,-4175,2.475
227278,-0.0044,0.00,-3987,2.475
227286,-0.0596,0.00,-3801,2.475
227294,-0.0737,0.00,-3616,2.475
227302,0.0354,2.03,-3436,2.475
227310,0.0344,1.97,-3262,2.475
227318,-0.0945,0.00,-3090,2.119
227326,-0.2185,0.00,-2917,2.119
227334,-0.0083,0.00,-2745,2.119
227342,-0.0913,0.00,-2573,2.119
227350,-0.1431,0.00,-2402,2.119
227358,-0.2146,0.00,-2238,2.119
227366,-0.0366,0.00,-2080,2.119
227374,-0.0686,0.00,-1927,2.119
227382,-0.0444,0.00,-1775,2.119
227390,0.0149,0.85,-1621,2.119
227398,-0.0461,0.00,-1465,2.119
227406,0.0000,0.00,-1321,2.119
227414,-0.2471,0.00,-1140,2.119
227422,-0.0867,0.00,-965,1.817
227430,-0.1121,0.00,-776,1.817
227438,0.4358,25.84,-560,1.817
227446,-0.0066,0.00,-316,1.817
227454,0.1616,9.30,-43,1.817
227462,0.3018,17.56,252,1.817
227470,0.1802,10.38,569,1.817
227478,0.0000,0.00,891,1.817
227486,0.0000,0.00,1272,1.817
227494,0.0000,0.00,1660,1.817
227502,0.0000,0.00,2065,1.817
227510,0.0000,0.00,2484,1.817
227518,0.0000,0.00,2885,1.817
227526,0.0000,0.00,3297,3.650
227534,0.0000,0.00,3719,3.650
227542,0.1484,8.54,4154,3.650
227550,-0.1367,0.00,4564,3.650
227558,0.0000,0.00,4933,3.650
227566,0.1987,11.46,5357,3.650
227574,-0.0361,0.00,5753,3.650
227582,-0.0955,0.00,6148,3.650
227590,0.0642,3.68,6528,3.650
227598,-0.0869,0.00,6915,3.650
227606,0.0000,0.00,7267,3.650
227614,0.0789,4.52,7668,3.650
227622,0.0386,2.21,8036,3.650
227630,-0.2170,0.00,8408,4.348
227638,-0.0466,0.00,8770,4.348
227646,-0.0237,0.00,9124,4.348
227654,-0.1382,0.00,9485,4.348
227662,-0.2007,0.00,9839,4.348
227670,0.1023,5.87,10176,4.348
227678,-0.2288,0.00,10520,4.348
227686,0.0623,3.57,10864,4.348
227694,0.0334,1.92,11197,4.348
227702,-0.1797,0.00,11526,4.348
227710,-0.1697,0.00,11865,4.348
227718,-0.1777,0.00,12201,4.348
227726,-0.0823,0.00,12521,4.348
227734,-0.3105,0.00,12847,3.804
227742,-0.1211,0.00,13179,3.804
227750,0.0000,0.00,13474,3.804
227758,-0.1484,0.00,13821,3.804
227766,0.1680,9.67,14144,3.804
227774,-0.0720,0.00,14472,3.804
227782,-0.1162,0.00,14784,3.804
227790,-0.0916,0.00,15091,3.804
227798,0.0720,4.13,15405,3.804
227806,-0.2068,0.00,15718,3.804
227814,0.0735,4.21,16019,3.804
227822,-0.0696,0.00,16316,3.804
227830,-0.0508,0.00,16621,3.804
227838,-0.2297,0.00,16925,3.495
