time,Ax,Angulo_graus,Pulsos,Vel_ms
5620,0.1729,9.95,2159,0.508
5628,0.1826,10.52,2219,0.508
5636,0.1355,7.79,2278,0.508
5644,0.1995,11.51,2337,0.653
5652,0.0000,0.00,2389,0.653
5660,0.0000,0.00,2446,0.653
5668,0.0000,0.00,2501,0.653
5676,0.0000,0.00,2556,0.653
5684,0.0000,0.00,2611,0.653
5692,0.0000,0.00,2665,0.653
5700,0.0000,0.00,2720,0.653
5708,0.0000,0.00,2775,0.653
5716,0.0000,0.00,2831,0.653
5724,0.1252,7.19,2894,0.653
5732,0.1472,8.47,2953,0.653
5740,0.1467,8.44,3008,0.653
5748,0.1755,10.11,3064,0.623
5756,0.1453,8.35,3121,0.623
5764,0.2600,15.07,3179,0.623
5772,0.2078,11.99,3232,0.623
5780,0.2986,17.37,3292,0.623
5788,0.3042,17.71,3358,0.623
5796,0.2820,16.38,3429,0.623
5804,0.2969,17.27,3501,0.623
5812,0.2561,14.84,3576,0.623
5820,0.3196,18.64,3654,0.623
5828,0.2913,16.93,3733,0.623
5836,0.2756,16.00,3813,0.623
5844,0.3223,18.80,3893,0.623
5852,0.2097,12.11,3974,0.776
5860,0.2173,12.55,4059,0.776
5868,0.2241,12.95,4143,0.776
5876,0.1777,10.24,4229,0.776
5884,0.0835,4.79,4311,0.776
5892,0.1357,7.80,4393,0.776
5900,0.1794,10.34,4477,0.776
5908,0.0161,0.92,4559,0.776
5916,0.2583,14.97,4641,0.776
5924,0.2200,12.71,4723,0.776
5932,0.3118,18.17,4805,0.776
5940,0.2371,13.71,4887,0.776
5948,0.0613,3.51,4969,0.776
5956,0.2302,13.31,5053,0.923
5964,0.4385,26.01,5140,0.923
5972,0.2810,16.32,5228,0.923
5980,0.1355,7.79,5322,0.923
5988,0.0940,5.39,5415,0.923
5996,0.2959,17.21,5506,0.923
6004,0.1768,10.18,5598,0.923
6012,0.1880,10.84,5683,0.923
6020,0.2266,13.09,5785,0.923
6028,0.2187,12.64,5902,0.923
6036,0.2725,15.81,6025,0.923
6044,0.1667,9.60,6153,0.923
6052,0.2136,12.33,6281,0.923
6060,0.1865,10.75,6411,1.156
6068,0.2080,12.01,6544,1.156
6076,0.0000,0.00,6665,1.156
6084,0.0000,0.00,6791,1.156
6092,0.0000,0.00,6915,1.156
6100,0.0000,0.00,7035,1.156
6108,0.0876,5.03,7162,1.156
6116,-0.0940,0.00,7277,1.156
6124,-0.8755,0.00,7391,1.156
6132,0.0173,0.99,7505,1.156
6140,-1.4509,0.00,7620,1.156
6148,0.3843,22.60,7741,1.156
6156,-0.3345,0.00,7861,1.156
6164,0.2922,16.99,7981,1.345
6172,0.3901,22.96,8102,1.345
6180,0.0347,1.99,8238,1.345
6188,0.2532,14.67,8393,1.345
6196,0.4944,29.63,8555,1.345
6204,0.3875,22.80,8746,1.345
6212,0.2864,16.64,8955,1.345
6220,0.1716,9.88,9171,1.345
6228,0.1609,9.26,9404,1.345
6236,0.0000,0.00,9621,1.345
6244,0.0000,0.00,9874,1.345
6252,0.0000,0.00,10142,1.345
6260,0.0776,4.45,10447,1.345
6268,0.1719,9.90,10719,2.325
6276,0.1963,11.32,10985,2.325
6284,0.2595,15.04,11261,2.325
6292,0.2432,14.07,11540,2.325
