time,Ax,Angulo_graus,Pulsos,Vel_ms
13734,-0.0625,0.00,3148,0.009
13742,-0.0583,0.00,3148,0.009
13750,-0.0640,0.00,3148,0.009
13758,-0.0762,0.00,3148,0.009
13766,-0.0710,0.00,3148,0.009
13774,-0.0603,0.00,3148,0.009
13782,-0.0710,0.00,3148,0.009
13790,-0.0679,0.00,3148,0.009
13798,-0.0693,0.00,3148,0.009
13806,-0.0613,0.00,3148,0.000
13814,-0.0691,0.00,3148,0.000
13822,-0.0710,0.00,3148,0.000
13830,-0.0737,0.00,3148,0.000
13838,-0.0718,0.00,3149,0.000
13846,-0.0496,0.00,3149,0.000
13854,-0.0767,0.00,3150,0.000
13862,0.0100,0.57,3153,0.000
13870,-0.0928,0.00,3156,0.000
13878,-0.1423,0.00,3161,0.000
13886,0.0520,2.98,3169,0.000
13894,-0.1353,0.00,3179,0.000
13902,0.0667,3.82,3193,0.000
13910,0.1377,7.91,3210,0.051
13918,0.1853,10.68,3233,0.051
13926,0.3184,18.56,3261,0.051
13934,0.3689,21.65,3296,0.051
13942,0.4011,23.65,3337,0.051
13950,0.4868,29.13,3386,0.051
13958,0.3557,20.84,3442,0.051
13966,0.2612,15.14,3505,0.051
13974,0.2556,14.81,3575,0.051
13982,0.3044,17.72,3652,0.051
13990,0.2720,15.78,3733,0.051
13998,0.2922,16.99,3818,0.051
14006,0.1067,6.12,3905,0.051
14014,0.2283,13.20,3996,0.663
14022,0.1653,9.51,4088,0.663
14030,0.2578,14.94,4183,0.663
14038,0.2236,12.92,4280,0.663
14046,0.1145,6.57,4379,0.663
14054,0.1428,8.21,4481,0.663
14062,0.2815,16.35,4585,0.663
14070,0.1902,10.96,4692,0.663
14078,0.0254,1.45,4798,0.663
14086,0.1355,7.79,4905,0.663
14094,0.1929,11.12,5010,0.663
14102,0.2769,16.07,5113,0.663
14110,0.1794,10.34,5217,0.663
14118,0.1543,8.88,5325,1.135
14126,0.1890,10.89,5437,1.135
14134,0.2688,15.59,5554,1.135
14142,0.1934,11.15,5677,1.135
14150,0.1768,10.18,5805,1.135
14158,0.1768,10.18,5940,1.135
14166,0.1289,7.41,6081,1.135
14174,0.4182,24.72,6226,1.135
14182,0.2856,16.60,6373,1.135
14190,0.2114,12.21,6528,1.135
14198,0.2114,12.21,6688,1.135
14206,0.1797,10.35,6853,1.135
14214,0.2507,14.52,7020,1.135
14222,-0.0435,0.00,7187,1.587
14230,0.0000,0.00,7334,1.587
14238,0.0000,0.00,7488,1.587
14246,0.0000,0.00,7638,1.587
14254,0.2024,11.68,7802,1.587
14262,-1.6592,0.00,7951,1.587
14270,-0.3845,0.00,8098,1.587
14278,0.0283,1.62,8243,1.587
14286,0.1372,7.89,8384,1.587
14294,-0.6167,0.00,8523,1.587
14302,0.1567,9.02,8656,1.587
14310,-0.1143,0.00,8785,1.587
14318,-0.3640,0.00,8915,1.587
14326,0.1509,8.68,9044,1.595
14334,0.0022,0.13,9175,1.595
14342,0.3896,22.93,9308,1.595
14350,-0.0784,0.00,9442,1.595
14358,-0.0117,0.00,9579,1.595
14366,-0.4570,0.00,9718,1.595
14374,0.2852,16.57,9857,1.595
14382,-0.5540,0.00,10001,1.595
14390,0.4172,24.66,10158,1.595
14398,0.1609,9.26,10331,1.595
14406,0.2786,16.17,10520,1.595
14414,0.6763,42.55,10725,1.595
14422,0.4678,27.89,10943,1.595
14430,0.4097,24.18,11164,1.802
14438,0.2866,16.66,11398,1.802
14446,0.1519,8.73,11644,1.802
14454,0.0000,0.00,11873,1.802
14462,0.0120,0.69,12149,1.802
14470,-0.2075,0.00,12391,1.802
14478,0.0298,1.71,12635,1.802
14486,1.0222,90.00,12883,1.802
14494,-0.1165,0.00,13128,1.802
14502,-0.1509,0.00,13368,1.802
14510,-1.8784,0.00,13599,1.802
14518,0.4016,23.68,13829,1.802
14526,-0.0623,0.00,14065,1.802
14534,-0.8535,0.00,14299,2.681
14542,-0.0195,0.00,14526,2.681
14550,-0.1133,0.00,14741,2.681
14558,-0.0867,0.00,14955,2.681
14566,0.0020,0.11,15170,2.681
14574,0.1406,8.08,15384,2.681
14582,-0.3494,0.00,15594,2.681
14590,-0.0667,0.00,15799,2.681
14598,-0.2605,0.00,15996,2.681
14606,-0.1597,0.00,16193,2.681
14614,0.0173,0.99,16392,2.681
14622,-0.0435,0.00,16591,2.681
14630,-0.0999,0.00,16788,2.681
14638,0.0403,2.31,16976,2.297
14646,-0.0745,0.00,17156,2.297
14654,-0.1450,0.00,17333,2.297
14662,0.0496,2.84,17511,2.297
14670,-0.1782,0.00,17688,2.297
14678,-0.2046,0.00,17861,2.297
14686,0.0085,0.49,18031,2.297
14694,-0.0491,0.00,18197,2.297
14702,0.0125,0.71,18356,2.297
14710,-0.0994,0.00,18515,2.297
14718,-0.0449,0.00,18674,2.297
14726,-0.1516,0.00,18837,2.297
14734,-0.0391,0.00,19001,2.297
14742,-0.2166,0.00,19168,1.879
14750,0.1619,9.32,19332,1.879
14758,0.1062,6.10,19491,1.879
14766,0.1294,7.43,19651,1.879
14774,-0.1416,0.00,19816,1.879
14782,-0.3269,0.00,19988,1.879
14790,0.1143,6.56,20165,1.879
14798,-0.1448,0.00,20350,1.879
14806,-0.0986,0.00,20540,1.879
14814,0.1638,9.43,20731,1.879
14822,0.0015,0.08,20928,1.879
14830,0.1899,10.95,21133,1.879
14838,0.1912,11.02,21349,1.879
14846,0.2825,16.41,21568,2.047
14854,0.0000,0.00,21765,2.047
14862,0.0000,0.00,21976,2.047
14870,0.0000,0.00,22189,2.047
14878,0.0000,0.00,22408,2.047
14886,0.2205,12.74,22647,2.047
14894,0.7993,53.06,22864,2.047
14902,-0.1636,0.00,23079,2.047
14910,0.2729,15.84,23290,2.047
14918,-0.2561,0.00,23508,2.047
14926,0.1204,6.91,23735,2.047
14934,-0.2187,0.00,23965,2.047
14942,-0.0991,0.00,24192,2.047
14950,0.2007,11.58,24413,2.435
14958,0.0171,0.98,24643,2.435
14966,0.0000,0.00,24860,2.435
14974,0.0000,0.00,25107,2.435
14982,0.0000,0.00,25360,2.435
14990,-0.5051,0.00,25641,2.435
14998,-0.1221,0.00,25915,2.435
15006,-0.0120,0.00,26209,2.435
15014,0.1479,8.51,26514,2.435
15022,0.2207,12.75,26820,2.435
15030,0.1133,6.50,27145,2.435
15038,0.0439,2.52,27485,2.435
15046,0.0000,0.00,27797,2.435
15054,0.0000,0.00,28140,3.200
15062,0.0000,0.00,28497,3.200
15070,-0.0269,0.00,28891,3.200
15078,0.0994,5.70,29233,3.200
15086,-0.3677,0.00,29585,3.200
15094,0.0298,1.71,29939,3.200
15102,-0.5239,0.00,30284,3.200
15110,0.0818,4.69,30620,3.200
15118,-0.0618,0.00,30967,3.200
15126,-0.1106,0.00,31308,3.200
15134,-0.1436,0.00,31632,3.200
15142,0.0662,3.79,31960,3.200
15150,-0.1709,0.00,32291,3.200
15158,-0.0574,0.00,32613,3.806
15166,-0.3870,0.00,32925,3.806
15174,0.0442,2.53,33244,3.806
15182,-0.1680,0.00,33564,3.806
15190,-0.3303,0.00,33871,3.806
15198,-0.0845,0.00,34168,3.806
15206,-0.0256,0.00,34474,3.806
15214,-0.0259,0.00,34776,3.806
15222,-0.0784,0.00,35069,3.806
15230,-0.2058,0.00,35355,3.806
15238,0.0081,0.46,35647,3.806
15246,-0.0559,0.00,35940,3.806
15254,-0.3052,0.00,36221,3.806
15262,-0.0066,0.00,36492,3.325
15270,-0.0547,0.00,36768,3.325
15278,-0.1726,0.00,37045,3.325
15286,-0.0308,0.00,37319,3.325
15294,-0.1428,0.00,37585,3.325
15302,0.0762,4.37,37853,3.325
15310,-0.2148,0.00,38133,3.325
15318,0.0396,2.27,38415,3.325
15326,-0.2700,0.00,38688,3.325
15334,-0.0513,0.00,38960,3.325
15342,0.0100,0.57,39244,3.325
15350,0.0317,1.82,39531,3.325
15358,-0.0330,0.00,39816,3.325
15366,-0.1648,0.00,40099,3.085
15374,0.0442,2.53,40391,3.085
15382,-0.2639,0.00,40695,3.085
15390,0.0330,1.89,40993,3.085
15398,-0.0317,0.00,41286,3.085
15406,0.0344,1.97,41591,3.085
15414,-0.0073,0.00,41903,3.085
15422,0.1904,10.98,42214,3.085
