time,Ax,Angulo_graus,Pulsos,Vel_ms
6796,-0.0620,0.00,-4208,0.000
6804,-0.0693,0.00,-4208,0.000
6812,-0.0671,0.00,-4208,0.000
6820,-0.0627,0.00,-4208,0.000
6828,-0.0620,0.00,-4208,0.000
6836,-0.0674,0.00,-4208,0.000
6844,-0.0647,0.00,-4208,0.000
6852,-0.0657,0.00,-4208,0.000
6860,-0.0652,0.00,-4208,0.000
6868,-0.0627,0.00,-4208,0.000
6876,-0.0691,0.00,-4208,0.000
6884,-0.0688,0.00,-4208,0.000
6892,-0.0679,0.00,-4208,0.000
6900,-0.0667,0.00,-4208,0.000
6908,-0.0640,0.00,-4208,0.000
6916,-0.0605,0.00,-4208,0.000
6924,-0.0637,0.00,-4208,0.000
6932,-0.0623,0.00,-4208,0.000
6940,-0.0640,0.00,-4208,0.000
6948,-0.0693,0.00,-4208,0.000
6956,-0.0615,0.00,-4208,0.000
6964,-0.0632,0.00,-4208,0.000
6972,-0.0645,0.00,-4208,0.000
6980,-0.0662,0.00,-4208,0.000
6988,-0.0652,0.00,-4208,0.000
6996,-0.0615,0.00,-4208,0.000
7004,-0.0657,0.00,-4208,0.000
7012,-0.0615,0.00,-4208,0.000
7020,-0.0645,0.00,-4208,0.000
7028,-0.0610,0.00,-4208,0.000
7036,-0.0686,0.00,-4208,0.000
7044,-0.0647,0.00,-4208,0.000
7052,-0.0615,0.00,-4208,0.000
7060,-0.0662,0.00,-4208,0.000
7068,-0.0667,0.00,-4208,0.000
7076,-0.0659,0.00,-4208,0.000
7084,-0.0669,0.00,-4208,0.000
7092,-0.0659,0.00,-4208,0.000
7100,-0.0630,0.00,-4208,0.000
7108,-0.0645,0.00,-4208,0.000
7116,-0.0652,0.00,-4208,0.000
7124,-0.0664,0.00,-4208,0.000
7132,-0.0657,0.00,-4208,0.000
7140,-0.0662,0.00,-4208,0.000
7148,-0.0645,0.00,-4208,0.000
7156,-0.0642,0.00,-4208,0.000
7164,-0.0190,0.00,-4208,0.000
7172,-0.0659,0.00,-4208,0.000
7180,-0.0806,0.00,-4208,0.000
7188,-0.1184,0.00,-4209,0.000
7196,-0.0737,0.00,-4209,0.000
7204,-0.0225,0.00,-4210,-0.001
7212,-0.0879,0.00,-4211,-0.001
7220,0.0500,2.87,-4214,-0.001
7228,-0.1838,0.00,-4219,-0.001
7236,-0.0310,0.00,-4226,-0.001
7244,-0.0698,0.00,-4236,-0.001
7252,0.0168,0.97,-4251,-0.001
7260,0.1719,9.90,-4270,-0.001
7268,0.0000,0.00,-4292,-0.001
7276,0.3816,22.43,-4325,-0.001
7284,0.6599,41.29,-4362,-0.001
7292,0.4792,28.64,-4406,-0.001
7300,0.5371,32.49,-4458,-0.001
7308,0.5369,32.47,-4519,-0.258
7316,0.1990,11.48,-4587,-0.258
7324,-0.0874,0.00,-4663,-0.258
7332,0.1531,8.81,-4746,-0.258
7340,0.1638,9.43,-4835,-0.258
7348,0.2783,16.16,-4928,-0.258
7356,0.4358,25.84,-5022,-0.258
7364,0.3137,18.28,-5116,-0.258
7372,0.5210,31.40,-5212,-0.258
7380,0.3386,19.79,-5309,-0.258
7388,0.2710,15.72,-5405,-0.258
7396,0.3237,18.89,-5499,-0.258
7404,0.3435,20.09,-5597,-0.258
7412,0.1575,9.06,-5697,-1.003
7420,0.0000,0.00,-5786,-1.003
7428,0.0000,0.00,-5882,-1.003
7436,0.0000,0.00,-5976,-1.003
7444,0.0000,0.00,-6072,-1.003
7452,0.0000,0.00,-6160,-1.003
7460,0.0000,0.00,-6245,-1.003
7468,0.1809,10.42,-6334,-1.003
7476,-0.0896,0.00,-6416,-1.003
7484,-0.3501,0.00,-6496,-1.003
7492,-0.1931,0.00,-6576,-1.003
7500,0.0007,0.04,-6654,-1.003
7508,0.2480,14.36,-6730,-1.003
7516,0.0352,2.01,-6804,-0.952
7524,0.0530,3.04,-6875,-0.952
7532,0.0107,0.62,-6945,-0.952
7540,-0.0640,0.00,-7014,-0.952
7548,-0.1040,0.00,-7082,-0.952
7556,-0.0815,0.00,-7152,-0.952
7564,0.0674,3.86,-7223,-0.952
7572,-0.1106,0.00,-7298,-0.952
7580,-0.2422,0.00,-7378,-0.952
7588,-0.0818,0.00,-7461,-0.952
7596,0.1387,7.97,-7552,-0.952
7604,0.0000,0.00,-7642,-0.952
7612,0.2346,13.57,-7765,-0.952
7620,0.4570,27.20,-7887,-0.920
7628,0.4653,27.73,-8027,-0.920
7636,0.2708,15.71,-8186,-0.920
7644,0.3357,19.61,-8358,-0.920
7652,0.0784,4.49,-8545,-0.920
7660,0.1694,9.75,-8738,-0.920
7668,0.0000,0.00,-8923,-0.920
7676,-0.2991,0.00,-9163,-0.920
7684,0.1748,10.07,-9393,-0.920
7692,0.6323,39.22,-9626,-0.920
7700,0.4800,28.68,-9860,-0.920
7708,0.0378,2.17,-10092,-0.920
7716,0.2671,15.49,-10321,-0.920
7724,0.0901,5.17,-10562,-2.274
7732,0.1873,10.79,-10804,-2.274
7740,0.0000,0.00,-11018,-2.274
7748,0.0000,0.00,-11251,-2.274
7756,0.0000,0.00,-11484,-2.274
7764,0.0000,0.00,-11718,-2.274
7772,0.0000,0.00,-11950,-2.274
7780,-0.0945,0.00,-12196,-2.274
7788,0.1292,7.42,-12411,-2.274
7796,1.2263,90.00,-12622,-2.274
7804,-0.1880,0.00,-12827,-2.274
7812,0.3706,21.75,-13040,-2.274
7820,0.0110,0.63,-13249,-2.274
7828,-0.0332,0.00,-13446,-2.475
7836,0.0435,2.49,-13642,-2.475
7844,0.1338,7.69,-13834,-2.475
7852,-0.0017,0.00,-14027,-2.475
7860,0.0334,1.92,-14217,-2.475
7868,-0.0071,0.00,-14403,-2.475
7876,-0.0681,0.00,-14582,-2.475
7884,-0.0457,0.00,-14754,-2.475
7892,0.0713,4.09,-14921,-2.475
7900,-0.0205,0.00,-15082,-2.475
7908,-0.1101,0.00,-15245,-2.475
7916,-0.0613,0.00,-15409,-2.475
7924,-0.1240,0.00,-15570,-2.475
7932,-0.1763,0.00,-15728,-1.958
7940,0.1155,6.63,-15874,-1.958
7948,-0.0349,0.00,-16017,-1.958
7956,0.0527,3.02,-16156,-1.958
7964,0.0620,3.56,-16298,-1.958
7972,-0.0552,0.00,-16436,-1.958
7980,-0.0376,0.00,-16572,-1.958
7988,-0.0781,0.00,-16706,-1.958
7996,-0.1528,0.00,-16838,-1.958
8004,-0.0950,0.00,-16971,-1.958
8012,-0.1001,0.00,-17105,-1.958
8020,-0.0735,0.00,-17245,-1.958
8028,-0.0579,0.00,-17392,-1.958
8036,-0.3604,0.00,-17545,-1.554
8044,0.2122,12.25,-17716,-1.554
8052,0.1484,8.54,-17901,-1.554
8060,0.1892,10.91,-18104,-1.554
8068,0.4326,25.63,-18318,-1.554
8076,0.3564,20.88,-18543,-1.554
8084,0.1770,10.20,-18788,-1.554
8092,0.3662,21.48,-19046,-1.554
8100,0.2358,13.64,-19310,-1.554
8108,0.0669,3.84,-19571,-1.554
8116,0.2402,13.90,-19834,-1.554
8124,0.0000,0.00,-20074,-1.554
8132,0.0000,0.00,-20350,-1.554
8140,0.0439,2.52,-20642,-2.637
8148,-0.1594,0.00,-20905,-2.637
8156,0.6711,42.16,-21173,-2.637
8164,-0.0986,0.00,-21439,-2.637
8172,0.2947,17.14,-21700,-2.637
8180,-0.1443,0.00,-21951,-2.637
8188,-0.0305,0.00,-22195,-2.637
8196,-0.5002,0.00,-22433,-2.637
8204,-0.1997,0.00,-22679,-2.637
8212,0.0212,1.22,-22918,-2.637
8220,-0.2424,0.00,-23149,-2.637
