time,Ax,Angulo_graus,Pulsos,Vel_ms
3916,-0.0720,0.00,0,0.000
3924,-0.0793,0.00,0,0.000
3932,-0.0767,0.00,0,0.000
3940,-0.0779,0.00,0,0.000
3948,-0.0730,0.00,0,0.000
3956,-0.0774,0.00,0,0.000
3964,-0.0764,0.00,0,0.000
3972,-0.0720,0.00,0,0.000
3980,-0.0762,0.00,0,0.000
3988,-0.0752,0.00,0,0.000
3996,-0.0730,0.00,0,0.000
4004,-0.0752,0.00,0,0.000
4012,-0.0728,0.00,0,0.000
4020,-0.0808,0.00,0,0.000
4028,-0.0791,0.00,0,0.000
4036,-0.0752,0.00,0,0.000
4044,-0.0798,0.00,0,0.000
4052,-0.0728,0.00,0,0.000
4060,-0.0725,0.00,0,0.000
4068,-0.0771,0.00,0,0.000
4076,-0.0740,0.00,0,0.000
4084,-0.0725,0.00,0,0.000
4092,-0.0735,0.00,0,0.000
4100,-0.0757,0.00,0,0.000
4108,-0.0725,0.00,0,0.000
4116,-0.0745,0.00,0,0.000
4124,-0.0715,0.00,0,0.000
4132,-0.0747,0.00,0,0.000
4140,-0.0747,0.00,0,0.000
4148,-0.0752,0.00,0,0.000
4156,-0.0757,0.00,0,0.000
4164,-0.0728,0.00,0,0.000
4172,-0.0742,0.00,0,0.000
4180,-0.0737,0.00,0,0.000
4188,-0.0776,0.00,0,0.000
4196,-0.0793,0.00,0,0.000
4204,-0.0754,0.00,0,0.000
4212,-0.0759,0.00,0,0.000
4220,-0.0740,0.00,0,0.000
4228,-0.0825,0.00,0,0.000
4236,-0.0745,0.00,0,0.000
4244,-0.0754,0.00,0,0.000
4252,-0.0750,0.00,0,0.000
4260,-0.0774,0.00,0,0.000
4268,-0.0786,0.00,0,0.000
4276,-0.0779,0.00,0,0.000
4284,-0.0781,0.00,0,0.000
4292,-0.0801,0.00,0,0.000
4300,-0.0735,0.00,0,0.000
4308,-0.0759,0.00,0,0.000
4316,-0.0771,0.00,0,0.000
4324,-0.0757,0.00,0,0.000
4332,-0.0740,0.00,0,0.000
4340,-0.0759,0.00,0,0.000
4348,-0.0757,0.00,0,0.000
4356,-0.0764,0.00,0,0.000
4364,-0.0774,0.00,0,0.000
4372,-0.0771,0.00,0,0.000
4380,-0.0771,0.00,0,0.000
4388,-0.0784,0.00,0,0.000
4396,-0.0759,0.00,0,0.000
4404,-0.0757,0.00,0,0.000
4412,-0.0767,0.00,0,0.000
4420,-0.0715,0.00,0,0.000
4428,-0.0774,0.00,0,0.000
4436,-0.0737,0.00,0,0.000
4444,-0.0750,0.00,0,0.000
4452,-0.0759,0.00,0,0.000
4460,-0.0757,0.00,0,0.000
4468,-0.0752,0.00,0,0.000
4476,-0.0725,0.00,0,0.000
4484,-0.0750,0.00,0,0.000
4492,-0.0742,0.00,0,0.000
4500,-0.0774,0.00,0,0.000
4508,-0.0798,0.00,0,0.000
4516,-0.0730,0.00,0,0.000
4524,-0.0747,0.00,0,0.000
4532,-0.0728,0.00,0,0.000
4540,-0.0691,0.00,0,0.000
4548,-0.0698,0.00,0,0.000
4556,-0.0730,0.00,0,0.000
4564,-0.0759,0.00,0,0.000
4572,-0.0747,0.00,0,0.000
4580,-0.0757,0.00,0,0.000
4588,-0.0745,0.00,0,0.000
4596,-0.0771,0.00,0,0.000
4604,-0.0774,0.00,0,0.000
4612,-0.0713,0.00,0,0.000
4620,-0.0752,0.00,0,0.000
4628,-0.0784,0.00,0,0.000
4636,-0.0728,0.00,0,0.000
4644,-0.0757,0.00,0,0.000
4652,-0.0710,0.00,0,0.000
4660,-0.0779,0.00,0,0.000
4668,-0.0742,0.00,0,0.000
4676,-0.0771,0.00,0,0.000
4684,-0.0728,0.00,0,0.000
4692,-0.0771,0.00,0,0.000
4700,-0.0735,0.00,0,0.000
4708,-0.0757,0.00,0,0.000
4716,-0.0771,0.00,0,0.000
4724,-0.0762,0.00,0,0.000
4732,-0.0706,0.00,0,0.000
4740,-0.0779,0.00,0,0.000
4748,-0.0732,0.00,0,0.000
4756,-0.0730,0.00,0,0.000
4764,-0.0752,0.00,0,0.000
4772,-0.0745,0.00,0,0.000
4780,-0.0762,0.00,0,0.000
4788,-0.0735,0.00,0,0.000
4796,-0.0769,0.00,0,0.000
4804,-0.0718,0.00,0,0.000
4812,-0.0771,0.00,0,0.000
4820,-0.0747,0.00,0,0.000
4828,-0.0728,0.00,0,0.000
4836,-0.0735,0.00,0,0.000
4844,-0.0732,0.00,0,0.000
4852,-0.0757,0.00,0,0.000
4860,-0.0745,0.00,0,0.000
4868,-0.0759,0.00,0,0.000
4876,-0.0713,0.00,0,0.000
4884,-0.0730,0.00,0,0.000
4892,-0.0732,0.00,0,0.000
4900,-0.0769,0.00,0,0.000
4908,-0.0801,0.00,0,0.000
4916,-0.0713,0.00,0,0.000
4924,-0.0710,0.00,0,0.000
4932,-0.0710,0.00,0,0.000
4940,-0.0757,0.00,0,0.000
4948,-0.0771,0.00,0,0.000
4956,-0.0764,0.00,0,0.000
4964,-0.0747,0.00,0,0.000
4972,-0.0742,0.00,0,0.000
4980,-0.0725,0.00,0,0.000
4988,-0.0754,0.00,0,0.000
4996,-0.0745,0.00,0,0.000
5004,-0.0754,0.00,0,0.000
5012,-0.0771,0.00,0,0.000
5020,-0.0742,0.00,0,0.000
5028,-0.0769,0.00,0,0.000
5036,-0.0688,0.00,0,0.000
5044,-0.0764,0.00,0,0.000
5052,-0.0747,0.00,0,0.000
5060,-0.0759,0.00,0,0.000
5068,-0.0747,0.00,0,0.000
5076,-0.0779,0.00,0,0.000
5084,-0.0776,0.00,0,0.000
5092,-0.0754,0.00,0,0.000
5100,-0.0735,0.00,0,0.000
5108,-0.0762,0.00,0,0.000
5116,-0.0771,0.00,0,0.000
5124,-0.0747,0.00,0,0.000
5132,-0.0752,0.00,0,0.000
5140,-0.0720,0.00,0,0.000
5148,-0.0754,0.00,0,0.000
5156,-0.0708,0.00,0,0.000
5164,-0.0728,0.00,0,0.000
5172,-0.0757,0.00,0,0.000
5180,-0.0764,0.00,0,0.000
5188,-0.0718,0.00,0,0.000
5196,-0.0767,0.00,0,0.000
5204,-0.0769,0.00,0,0.000
5212,-0.0762,0.00,0,0.000
5220,-0.0718,0.00,0,0.000
5228,-0.0730,0.00,0,0.000
5236,-0.0728,0.00,0,0.000
5244,-0.0762,0.00,0,0.000
5252,-0.0735,0.00,0,0.000
5260,-0.0759,0.00,0,0.000
5268,-0.0789,0.00,0,0.000
5276,-0.0742,0.00,0,0.000
5284,-0.0757,0.00,0,0.000
5292,-0.0771,0.00,0,0.000
5300,-0.0786,0.00,0,0.000
5308,-0.0769,0.00,0,0.000
5316,-0.0747,0.00,0,0.000
5324,-0.0747,0.00,0,0.000
5332,-0.0752,0.00,0,0.000
