time,Ax,Angulo_graus,Pulsos,Vel_ms
256950,-0.0781,0.00,-201643,-0.015
256958,-0.0803,0.00,-201641,-0.015
256966,-0.0750,0.00,-201640,-0.015
256974,-0.0725,0.00,-201639,-0.015
256982,-0.0715,0.00,-201638,-0.015
256990,-0.0764,0.00,-201638,-0.015
256998,-0.0740,0.00,-201637,-0.015
257006,-0.0718,0.00,-201637,0.006
257014,-0.0784,0.00,-201636,0.006
257022,-0.0747,0.00,-201636,0.006
257030,-0.0728,0.00,-201635,0.006
257038,-0.0710,0.00,-201635,0.006
257046,-0.0735,0.00,-201634,0.006
257054,-0.0752,0.00,-201634,0.006
257062,-0.0723,0.00,-201634,0.006
257070,-0.0654,0.00,-201634,0.006
257078,-0.0706,0.00,-201634,0.006
257086,-0.0723,0.00,-201633,0.006
257094,-0.0737,0.00,-201633,0.006
257102,-0.0752,0.00,-201633,0.006
257110,-0.0789,0.00,-201633,0.003
257118,-0.0764,0.00,-201633,0.003
257126,-0.0798,0.00,-201633,0.003
257134,-0.0769,0.00,-201633,0.003
257142,-0.0737,0.00,-201633,0.003
257150,-0.0745,0.00,-201633,0.003
257158,-0.0745,0.00,-201633,0.003
257166,-0.0718,0.00,-201633,0.003
257174,-0.0740,0.00,-201633,0.003
257182,-0.0735,0.00,-201632,0.003
257190,-0.0767,0.00,-201632,0.003
257198,-0.0823,0.00,-201632,0.003
257206,-0.0737,0.00,-201632,0.003
257214,-0.0769,0.00,-201632,0.001
257222,-0.0764,0.00,-201632,0.001
257230,-0.0728,0.00,-201632,0.001
257238,-0.0737,0.00,-201632,0.001
257246,-0.0723,0.00,-201632,0.001
257254,-0.0710,0.00,-201632,0.001
257262,-0.0740,0.00,-201631,0.001
257270,-0.0735,0.00,-201631,0.001
257278,-0.0747,0.00,-201631,0.001
257286,-0.0723,0.00,-201631,0.001
257294,-0.0793,0.00,-201631,0.001
257302,-0.0750,0.00,-201631,0.001
257310,-0.0747,0.00,-201631,0.001
257318,-0.0728,0.00,-201631,0.001
257326,-0.0732,0.00,-201631,0.001
257334,-0.0710,0.00,-201631,0.001
257342,-0.0703,0.00,-201631,0.001
257350,-0.0742,0.00,-201631,0.001
257358,-0.0713,0.00,-201631,0.001
257366,-0.0747,0.00,-201631,0.001
257374,-0.0752,0.00,-201631,0.001
257382,-0.0725,0.00,-201631,0.001
257390,-0.0688,0.00,-201631,0.001
257398,-0.0769,0.00,-201631,0.001
257406,-0.0767,0.00,-201631,0.001
257414,-0.0583,0.00,-201631,0.001
257422,-0.0811,0.00,-201631,0.000
257430,-0.0791,0.00,-201632,0.000
257438,-0.0808,0.00,-201632,0.000
257446,-0.0715,0.00,-201633,0.000
257454,-0.0752,0.00,-201633,0.000
257462,-0.0715,0.00,-201635,0.000
257470,-0.0779,0.00,-201636,0.000
257478,-0.0662,0.00,-201637,0.000
257486,-0.0693,0.00,-201639,0.000
257494,-0.0769,0.00,-201641,0.000
257502,-0.0830,0.00,-201642,0.000
257510,-0.0820,0.00,-201644,0.000
257518,-0.0764,0.00,-201644,0.000
257526,-0.0691,0.00,-201645,-0.012
257534,-0.0750,0.00,-201645,-0.012
257542,-0.1121,0.00,-201645,-0.012
257550,-0.0940,0.00,-201643,-0.012
257558,-0.0815,0.00,-201642,-0.012
257566,-0.0718,0.00,-201642,-0.012
257574,-0.0706,0.00,-201642,-0.012
257582,-0.0779,0.00,-201641,-0.012
257590,-0.0796,0.00,-201641,-0.012
257598,-0.0706,0.00,-201640,-0.012
257606,-0.0654,0.00,-201640,-0.012
257614,-0.0754,0.00,-201640,-0.012
257622,-0.0725,0.00,-201639,-0.012
257630,-0.0759,0.00,-201639,0.005
257638,-0.0718,0.00,-201639,0.005
257646,-0.0718,0.00,-201639,0.005
257654,-0.0779,0.00,-201639,0.005
257662,-0.0720,0.00,-201639,0.005
257670,-0.0728,0.00,-201639,0.005
257678,-0.0696,0.00,-201639,0.005
257686,-0.0757,0.00,-201639,0.005
257694,-0.0686,0.00,-201639,0.005
257702,-0.0691,0.00,-201639,0.005
257710,-0.0759,0.00,-201639,0.005
257718,-0.0710,0.00,-201639,0.005
257726,-0.0769,0.00,-201639,0.005
257734,-0.0774,0.00,-201639,0.000
257742,-0.0688,0.00,-201639,0.000
257750,-0.0698,0.00,-201639,0.000
257758,-0.0715,0.00,-201639,0.000
257766,-0.0737,0.00,-201639,0.000
257774,-0.0737,0.00,-201639,0.000
257782,-0.0774,0.00,-201639,0.000
257790,-0.0737,0.00,-201639,0.000
257798,-0.0723,0.00,-201639,0.000
257806,-0.0757,0.00,-201639,0.000
257814,-0.0696,0.00,-201639,0.000
257822,-0.0740,0.00,-201639,0.000
257830,-0.0747,0.00,-201639,0.000
257838,-0.0679,0.00,-201639,0.000
257846,-0.0752,0.00,-201639,0.000
257854,-0.0723,0.00,-201639,0.000
257862,-0.0715,0.00,-201639,0.000
257870,-0.0742,0.00,-201639,0.000
257878,-0.0737,0.00,-201639,0.000
257886,-0.0784,0.00,-201639,0.000
257894,-0.0745,0.00,-201639,0.000
257902,-0.0742,0.00,-201639,0.000
257910,-0.0715,0.00,-201639,0.000
257918,-0.0757,0.00,-201639,0.000
257926,-0.0679,0.00,-201639,0.000
257934,-0.0737,0.00,-201639,0.000
257942,-0.0715,0.00,-201639,0.000
257950,-0.0701,0.00,-201639,0.000
257958,-0.0725,0.00,-201639,0.000
257966,-0.0732,0.00,-201639,0.000
257974,-0.0703,0.00,-201639,0.000
257982,-0.0745,0.00,-201639,0.000
257990,-0.0747,0.00,-201639,0.000
257998,-0.0774,0.00,-201639,0.000
258006,-0.0720,0.00,-201639,0.000
258014,-0.0718,0.00,-201639,0.000
